distance,error,bed,surface,source
0,10,432.6715698,986.6137695,2
150,10,428.7827759,982.8118286,2
300,10,439.6315918,991.0467529,2
450,10,436.7705078,984.526001,2
600,11,425.7520752,968.7459717,2
750,11,425.7520752,968.7459717,2
900,14,416.2038574,948.4660034,2
1050,15,406.2905884,926.1582031,2
1200,14,401.1570435,915.2816162,2
1350,15,423.9821777,924.7388306,2
1500,15,446.7239075,927.4210205,2
1650,13,438.2315063,918.0256958,2
1800,15,438.1579285,910.7542114,2
1950,18,453.1483154,915.6466064,2
2100,27,437.589325,900.4827881,2
2250,30,427.0312805,887.3039551,2
2400,22,429.2934265,886.3815918,2
2550,28,404.2088013,868.2918091,2
2700,37,370.8440247,837.6686401,2
2850,36,335.5582275,804.7769165,2
3000,39,326.6798401,791.4934692,2
3150,58,301.6865234,775.5796509,2
3300,92,268.5428772,748.1046753,2
3450,36,242.146698,724.8334351,2
3600,36,242.146698,724.8334351,2
3750,29,228.9146423,709.2473755,2
3900,25,221.3129883,697.4854126,2
4050,25,221.3129883,697.4854126,2
4200,26,221.3891602,692.2697754,2
4350,25,220.427063,688.9615479,2
4500,20,222.0867004,686.0578003,2
4650,23,210.6860657,680.838562,2
4800,24,201.4042969,672.2896729,2
4950,29,195.263031,666.916687,2
5100,29,195.263031,666.916687,2
5250,31,182.7254333,657.3585815,2
5400,26,163.6195374,644.4671631,2
5550,22,144.8067627,636.3405762,2
5700,24,133.7366028,623.7053833,2
5850,24,103.980896,602.7677612,2
6000,23,74.1885376,586.381897,2
6150,24,69.71102905,577.5986328,2
6300,25,35.76434326,554.4572754,2
6450,25,7.872619629,538.2011108,2
6600,27,-24.87945557,511.2635498,2
6750,28,-23.88345337,506.9524841,2
6900,28,-54.17926025,486.9185791,2
7050,29,-71.6390686,471.4995422,2
7200,29,-77.13513184,458.0615234,2
7350,29,-77.13513184,458.0615234,2
7500,29,-78.95288086,448.8826294,2
7650,36,-83.67700195,443.3983154,2
7800,35,-84.97317505,442.8645325,2
7950,43,-93.59573364,437.358551,2
8100,40,-103.9943848,431.7263184,2
8250,35,-101.6081848,437.5444641,2
8400,35,-121.2228394,427.3382568,2
8550,39,-142.6983337,409.0176086,2
8700,41,-149.2065735,415.1044006,2
8850,40,-175.0567627,399.8613892,2
9000,42,-214.1500244,381.6463013,2
9150,42,-214.1500244,381.6463013,2
9300,39,-250.5242615,359.653595,2
9450,38,-290.9548645,338.7535706,2
9600,34,-311.3092041,320.2387695,2
9750,38,-335.2488403,315.2518311,2
9900,38,-378.2393494,292.065033,2
10050,37,-416.9341736,269.5265198,2
10200,33,-434.1463623,253.6507721,2
10350,36,-452.3744202,245.052948,2
10500,36,-485.3391724,225.8387604,2
10650,32,-506.0283203,209.1668243,2
10800,35,-509.7837524,214.3376617,2
10950,33,-525.9060059,208.8274384,2
11100,30,-543.2176514,195.7481995,2
11250,45,-444.5253601,195.0066833,4
11400,45,-411.40448,201.9092255,4
11550,45,-375.4596863,195.3856506,4
11700,45,-313.2222595,194.1629028,4
11850,45,-256.9030151,192.8662109,4
12000,45,-256.9030151,192.8662109,4
12150,45,-220.0622253,183.8381653,4
12300,45,-193.1315918,174.4398804,4
12450,45,-181.1327515,165.7683716,4
12600,45,-174.8348389,162.0231934,4
12750,2,-293.8069763,0,42
12900,2,-317.8521729,0,42
13050,2,-373.3756104,0,42
13200,2,-388.5781555,0,42
13350,2,-420.6122131,0,42
13500,2,-457.2080383,0,42
13650,2,-467.169281,0,42
13800,2,-489.9712219,0,42
13950,2,-493.0433655,0,42
14100,2,-499.8597412,0,42
14250,2,-500.2158813,0,42
14400,2,-507.4873962,0,42
14550,2,-507.1630554,0,42
14700,2,-489.6856079,0,42
14850,2,-505.1768494,0,42
15000,2,-500.4264221,0,42
15150,2,-516.524292,0,42
15300,2,-529.9822998,0,42
15450,2,-518.897644,0,42
15600,2,-528.2496948,0,42
15750,2,-506.7302856,0,42
15900,2,-513.9614258,0,42
16050,2,-520.0140991,0,42
16200,2,-497.6614075,0,42
16350,2,-508.8349304,0,42
16500,2,-520.9205322,0,42
16650,2,-533.8098755,0,42
16800,2,-546.8553467,0,42
16950,2,-559.1705322,0,42
17100,2,-569.5957642,0,42
17250,2,-576.543396,0,42
17400,2,-576.543396,0,42
17550,2,-578.7825317,0,42
17700,2,-575.3770142,0,42
17850,2,-560.9873047,0,42
18000,2,-549.4801636,0,42
18150,2,-531.3161011,0,42
18300,2,-517.5345459,0,42
18450,2,-505.1003723,0,42
18600,2,-495.2224731,0,42
18750,2,-497.848938,0,42
18900,2,-496.6484375,0,42
19050,2,-498.4432068,0,42
19200,2,-507.5440063,0,42
19350,2,-512.1243896,0,42
19500,2,-520.227478,0,42
19650,2,-534.8340454,0,42
19800,2,-548.9400024,0,42
19950,2,-548.9400024,0,42
20100,2,-560.0038452,0,42
20250,2,-565.5673218,0,42
20400,2,-557.8443604,0,42
