distance,bed_elevation,surface_elevation
0,187.8441162,865.1783447
240,171.0256958,850.6682739
480,176.5709229,840.8530884
720,201.1329956,827.9727173
960,185.2478638,811.9719238
1200,209.0557861,804.3070068
1440,169.9051514,783.9451294
1680,147.90448,770.5744019
1920,98.98352051,745.2402954
2160,58.76391602,719.4432373
2400,48.02154541,706.1485596
2640,16.6260376,684.6018677
2880,-74.63037109,595.0864258
3120,-84.62646484,568.7087402
3360,-88.08587646,554.1454468
3600,-33.84558105,565.8432617
3840,-22.7623291,570.7340698
4080,-21.72253418,560.44104
4320,-33.05438232,545.9979858
4560,-40.2401123,533.7948608
4800,-39.88348389,526.4729004
5040,-44.02001953,516.9749756
5280,-77.77246094,492.7557373
5520,-86.34747314,487.1456299
5760,-103.9921265,474.4902344
6000,-125.8667297,454.5292664
6240,-137.8654175,444.0765991
6480,-166.0681458,421.8656921
6720,-174.5818176,398.3846741
6960,-205.197113,367.905365
7200,-191.7227478,351.2948914
7440,-195.0935059,335.9545898
7680,-194.5401611,327.8530884
7920,-199.91745,320.9200745
8160,-215.6576233,304.113739
8400,-230.5556335,274.734436
8640,-235.2398376,264.7447815
8880,-244.9595947,240.837738
9120,-252.2985382,229.7536774
9360,-264.2390747,218.725174
9600,-282.4041138,204.8014679
9840,-308.3500977,179.4211273
10080,-359.6965332,124.3662643
10320,-376.9362793,96.67131042
10560,-377.6596375,84.73562622
10800,-386.3203125,81.32158661
11040,-376.5951843,87.13592529
11280,-386.1412659,77.64605713
11520,-375.8122864,0
11760,-376.3132019,0
12000,-402.9220581,0
12240,-412.3186951,0
12480,-423.3024902,0
12720,-441.2966003,0
12960,-470.4964905,0
13200,-482.247467,0
13440,-490.9146423,0
13680,-500.2900391,0
13920,-495.5510254,0
14160,-487.1116333,0
14400,-470.9177551,0
14640,-456.1727295,0
14880,-439.7208557,0
15120,-421.6996155,0
15360,-391.8555908,0
15600,-375.4842834,0
15840,-362.5516052,0
